question_id,question,choices,answerKey,statements,isRelevant
,,,,"Satisfaction can be emotional, physical, or intellectual, depending on what is being fulfilled.",
,,,,"Sometimes, people seek out new experiences or achievements to regain a sense of satisfaction when it fades.",
,,have fun,,Having fun is often associated with doing something enjoyable or exciting.,TRUE
,,,,"People have fun by spending time with friends, family, or doing activities they love.",TRUE
,,,,"Fun can be different for everyone – some people find fun in sports, others in creative activities like painting or playing music.",
,,,,"Laughing, playing games, or going on adventures are common ways to have fun.",TRUE
,,,,"Having fun can make you feel happy, relaxed, and energized.",
,,,,"Sometimes, people have fun by trying new things or stepping outside their comfort zone.",
,,,,"Going to amusement parks, concerts, or movies is a popular way to have fun.",
,,,,"You can have fun by engaging in hobbies like reading, gardening, or cooking.",
,,,,"Fun doesn’t always have to involve big events; small moments, like enjoying a meal with friends, can also be fun.",
,,,,Having fun can help reduce stress and improve your overall well-being.,
,,thrilling,,A thrilling experience often causes excitement or nervousness due to its intensity.,
,,,,Roller coasters are considered thrilling because of their fast speeds and unexpected drops.,
,,,,Watching a thrilling movie can make your heart race and keep you on the edge of your seat.,
,,,,A thrilling chase scene in a book or film can make the audience feel adrenaline-pumped.,
,,,,Skydiving is considered a thrilling activity because of the high risk and intense sensation.,
,,,,A thrilling mystery novel keeps readers guessing with unexpected twists and suspenseful moments.,
,,,,Many people enjoy thrilling sports like bungee jumping or scuba diving for the excitement.,
,,,,A thrilling plot twist can completely change the direction of a story in a surprising way.,
,,,,A thrilling thunderstorm can be both awe-inspiring and a little frightening at the same time.,
,,,,"Winning a close, competitive game can be a thrilling moment, filled with joy and relief.",TRUE
,,made,,"Objects are made from materials like wood, metal, or plastic.",
,,,,Something can be made by hand or with the help of machines.,
,,,,"A product is often made to serve a specific purpose, like a chair being made to sit on.",
,,,,Food is made by combining ingredients and cooking them.,
,,,,"People can make things as a form of creativity, like art or music.",
,,,,"Things are often made through processes that require time, effort, and skill.",
,,,,"Items can be made in factories or at home, depending on their complexity.",
,,,,"Clothes are made from fabric, and sometimes altered to fit properly.",
,,,,"When something is made, it usually involves following instructions or plans, like building furniture from a kit.",
,,,,A handmade item is often considered unique because it’s made with personal care and attention.,
,,smart,,A smart person is often quick to understand new ideas or solve problems.,
,,,,Being smart can mean having a good memory or being able to learn new things easily.,
,,,,"People often associate being smart with academic success, but it can also apply to practical skills.",
,,,,A smart decision is one that considers all options and leads to the best outcome.,
,,,,"Smart devices, like smartphones or smartwatches, are designed to make life more convenient with advanced technology.",
,,,,Smart people are usually good at thinking critically and analyzing situations before making choices.,
,,,,"Sometimes, being smart means knowing when to ask for help or seek advice from others.",
,,,,"People often use the word ""smart"" to describe someone who dresses well or presents themselves confidently.",
,,,,A smart choice involves considering both short-term and long-term consequences.,
,,,,"Smart technology can learn from patterns and improve its functionality over time, like artificial intelligence.",
57b83653d82b27d32bc39228130f3516,"The poor girls needed a light to see, what was the relationship between that light and finishing her homework?",darkness,crucial,Darkness occurs when there is little to no light present.,
,,,,"Nighttime is typically associated with darkness, as the sun sets.",
,,,,Darkness can make it harder to see objects clearly.,
,,,,People often feel more vulnerable or uneasy in complete darkness.,
,,,,"Darkness is a natural part of the daily cycle, alternating with daylight.",
,,,,"In darkness, our eyes adjust to low light, but it can take time to adapt.",
